series_id,time,value
WILLLRGCAP,2009-07-30,25208.48
WILLLRGCAP,2009-07-31,25218.04
WILLLRGCAP,2009-08-03,25618.03
WILLLRGCAP,2009-08-04,25689.28
WILLLRGCAP,2009-08-05,25632.19
WILLLRGCAP,2009-08-06,25490.97
WILLLRGCAP,2009-08-07,25831.33
WILLLRGCAP,2009-08-10,25734.31
WILLLRGCAP,2009-08-11,25418.12
WILLLRGCAP,2009-08-12,25709.44
WILLLRGCAP,2009-08-13,25881.70
WILLLRGCAP,2009-08-14,25665.76
WILLLRGCAP,2009-08-17,25048.90
WILLLRGCAP,2009-08-18,25311.20
WILLLRGCAP,2009-08-19,25483.99
WILLLRGCAP,2009-08-20,25751.01
WILLLRGCAP,2009-08-21,26218.16
WILLLRGCAP,2009-08-24,26202.24
WILLLRGCAP,2009-08-25,26255.60
WILLLRGCAP,2009-08-26,26256.73
WILLLRGCAP,2009-08-27,26328.31
WILLLRGCAP,2009-08-28,26287.93
WILLLRGCAP,2009-08-31,26077.31
WILLLRGCAP,2009-09-01,25510.87
WILLLRGCAP,2009-09-02,25432.38
WILLLRGCAP,2009-09-03,25648.52
WILLLRGCAP,2009-09-04,25980.29
WILLLRGCAP,2009-09-08,26221.99
WILLLRGCAP,2009-09-09,26426.93
WILLLRGCAP,2009-09-10,26697.90
WILLLRGCAP,2009-09-11,26672.72
WILLLRGCAP,2009-09-14,26838.10
WILLLRGCAP,2009-09-15,26926.15
WILLLRGCAP,2009-09-16,27337.84
WILLLRGCAP,2009-09-17,27261.59
WILLLRGCAP,2009-09-18,27324.74
WILLLRGCAP,2009-09-21,27240.53
WILLLRGCAP,2009-09-22,27428.40
WILLLRGCAP,2009-09-23,27142.25
WILLLRGCAP,2009-09-24,26879.11
WILLLRGCAP,2009-09-25,26715.20
WILLLRGCAP,2009-09-28,27193.89
WILLLRGCAP,2009-09-29,27145.44
WILLLRGCAP,2009-09-30,27058.98
WILLLRGCAP,2009-10-01,26363.06
WILLLRGCAP,2009-10-02,26245.57
WILLLRGCAP,2009-10-05,26634.60
WILLLRGCAP,2009-10-06,26996.43
WILLLRGCAP,2009-10-07,27080.01
WILLLRGCAP,2009-10-08,27289.59
WILLLRGCAP,2009-10-09,27441.62
WILLLRGCAP,2009-10-12,27559.76
WILLLRGCAP,2009-10-13,27486.55
WILLLRGCAP,2009-10-14,27963.69
WILLLRGCAP,2009-10-15,28078.79
WILLLRGCAP,2009-10-16,27847.05
WILLLRGCAP,2009-10-19,28107.48
WILLLRGCAP,2009-10-20,27931.74
WILLLRGCAP,2009-10-21,27690.34
WILLLRGCAP,2009-10-22,27977.17
WILLLRGCAP,2009-10-23,27657.20
WILLLRGCAP,2009-10-26,27338.16
WILLLRGCAP,2009-10-27,27239.07
WILLLRGCAP,2009-10-28,26697.09
WILLLRGCAP,2009-10-29,27289.35
WILLLRGCAP,2009-10-30,26534.59
WILLLRGCAP,2009-11-02,26703.17
WILLLRGCAP,2009-11-03,26789.57
WILLLRGCAP,2009-11-04,26826.07
WILLLRGCAP,2009-11-05,27340.94
WILLLRGCAP,2009-11-06,27408.33
WILLLRGCAP,2009-11-09,28011.28
WILLLRGCAP,2009-11-10,28017.52
WILLLRGCAP,2009-11-11,28156.68
WILLLRGCAP,2009-11-12,27869.54
WILLLRGCAP,2009-11-13,28033.40
WILLLRGCAP,2009-11-16,28437.18
WILLLRGCAP,2009-11-17,28472.58
WILLLRGCAP,2009-11-18,28461.49
WILLLRGCAP,2009-11-19,28078.37
WILLLRGCAP,2009-11-20,27988.68
WILLLRGCAP,2009-11-23,28355.85
WILLLRGCAP,2009-11-24,28339.74
WILLLRGCAP,2009-11-25,28471.24
WILLLRGCAP,2009-11-27,27987.56
WILLLRGCAP,2009-11-30,28097.39
WILLLRGCAP,2009-12-01,28440.04
WILLLRGCAP,2009-12-02,28461.28
WILLLRGCAP,2009-12-03,28224.36
WILLLRGCAP,2009-12-04,28376.57
WILLLRGCAP,2009-12-07,28305.04
WILLLRGCAP,2009-12-08,28024.49
WILLLRGCAP,2009-12-09,28122.67
WILLLRGCAP,2009-12-10,28291.74
WILLLRGCAP,2009-12-11,28402.35
WILLLRGCAP,2009-12-14,28610.65
WILLLRGCAP,2009-12-15,28459.23
WILLLRGCAP,2009-12-16,28502.12
WILLLRGCAP,2009-12-17,28169.46
WILLLRGCAP,2009-12-18,28345.22
WILLLRGCAP,2009-12-21,28632.69
WILLLRGCAP,2009-12-22,28742.78
WILLLRGCAP,2009-12-23,28824.06
WILLLRGCAP,2009-12-24,28977.29
WILLLRGCAP,2009-12-28,29013.94
WILLLRGCAP,2009-12-29,28972.65
WILLLRGCAP,2009-12-30,28978.28
WILLLRGCAP,2009-12-31,28689.67
WILLLRGCAP,2010-01-04,29151.83
WILLLRGCAP,2010-01-05,29242.28
WILLLRGCAP,2010-01-06,29274.64
WILLLRGCAP,2010-01-07,29388.48
WILLLRGCAP,2010-01-08,29472.94
WILLLRGCAP,2010-01-11,29514.97
WILLLRGCAP,2010-01-12,29231.10
WILLLRGCAP,2010-01-13,29479.69
WILLLRGCAP,2010-01-14,29545.06
WILLLRGCAP,2010-01-15,29224.49
WILLLRGCAP,2010-01-19,29587.80
WILLLRGCAP,2010-01-20,29299.90
WILLLRGCAP,2010-01-21,28778.79
WILLLRGCAP,2010-01-22,28145.23
WILLLRGCAP,2010-01-25,28268.25
WILLLRGCAP,2010-01-26,28145.49
WILLLRGCAP,2010-01-27,28291.34
WILLLRGCAP,2010-01-28,27970.99
WILLLRGCAP,2010-01-29,27698.34
WILLLRGCAP,2010-02-01,28086.99
WILLLRGCAP,2010-02-02,28440.53
WILLLRGCAP,2010-02-03,28291.30
WILLLRGCAP,2010-02-04,27410.37
WILLLRGCAP,2010-02-05,27494.02
WILLLRGCAP,2010-02-08,27269.39
WILLLRGCAP,2010-02-09,27615.53
WILLLRGCAP,2010-02-10,27562.43
WILLLRGCAP,2010-02-11,27849.17
WILLLRGCAP,2010-02-12,27801.50
WILLLRGCAP,2010-02-16,28298.57
WILLLRGCAP,2010-02-17,28430.79
WILLLRGCAP,2010-02-18,28619.66
WILLLRGCAP,2010-02-19,28685.48
WILLLRGCAP,2010-02-22,28656.20
WILLLRGCAP,2010-02-23,28304.01
WILLLRGCAP,2010-02-24,28579.85
WILLLRGCAP,2010-02-25,28535.63
WILLLRGCAP,2010-02-26,28578.48
WILLLRGCAP,2010-03-01,28878.34
WILLLRGCAP,2010-03-02,28952.50
WILLLRGCAP,2010-03-03,28968.16
WILLLRGCAP,2010-03-04,29067.97
WILLLRGCAP,2010-03-05,29470.06
WILLLRGCAP,2010-03-08,29475.54
WILLLRGCAP,2010-03-09,29526.62
WILLLRGCAP,2010-03-10,29668.91
WILLLRGCAP,2010-03-11,29794.57
WILLLRGCAP,2010-03-12,29795.74
WILLLRGCAP,2010-03-15,29799.44
WILLLRGCAP,2010-03-16,30037.84
WILLLRGCAP,2010-03-17,30212.44
WILLLRGCAP,2010-03-18,30191.44
WILLLRGCAP,2010-03-19,30030.16
WILLLRGCAP,2010-03-22,30194.17
WILLLRGCAP,2010-03-23,30417.03
WILLLRGCAP,2010-03-24,30253.24
WILLLRGCAP,2010-03-25,30189.59
WILLLRGCAP,2010-03-26,30207.84
WILLLRGCAP,2010-03-29,30391.07
WILLLRGCAP,2010-03-30,30395.35
WILLLRGCAP,2010-03-31,30295.03
WILLLRGCAP,2010-04-01,30521.23
WILLLRGCAP,2010-04-05,30779.27
WILLLRGCAP,2010-04-06,30835.41
WILLLRGCAP,2010-04-07,30666.90
WILLLRGCAP,2010-04-08,30764.19
WILLLRGCAP,2010-04-09,30976.13
WILLLRGCAP,2010-04-12,31026.57
WILLLRGCAP,2010-04-13,31055.82
WILLLRGCAP,2010-04-14,31402.80
WILLLRGCAP,2010-04-15,31415.87
WILLLRGCAP,2010-04-16,30916.92
WILLLRGCAP,2010-04-19,31039.46
WILLLRGCAP,2010-04-20,31293.96
WILLLRGCAP,2010-04-21,31261.03
WILLLRGCAP,2010-04-22,31338.73
